Experiment,Scan,Median Magnitude (mm),Median Direction (deg)
20240529_exp2,20240529_exp2_nowood,0.0,0.0
20240529_exp2,20240529_exp2_wood,0.4473460477297515,-12.9064955465741
20240530_exp1,20240530_exp1_nowood,0.0,0.0
20240530_exp1,20240530_exp1_wood,0.5022596062867404,-10.32014712420559
20240603_exp1,20240603_exp1_nowood,0.0,0.0
20240603_exp1,20240603_exp1_wood,0.7786091125081632,-22.59913625816911
20240604_exp1,20240604_exp1_nowood,0.0,0.0
20240604_exp1,20240604_exp1_wood,0.7360615295979512,6.840165623532156e-12
20240605_exp1,20240605_exp1_nowood,0.0,0.0
20240605_exp1,20240605_exp1_wood,0.3354035499008594,-9.177680887372388
20240606_exp1,20240606_exp1_nowood,0.0,0.0
20240606_exp1,20240606_exp1_wood,0.7575462675988608,1.5000611746354207
20240610_exp1,20240610_exp1_nowood,0.0,0.0
20240610_exp1,20240610_exp1_wood,0.5832950806768359,0.20888799896756272
20240613_exp1,20240613_exp1_wood,0.0,0.0
20240614_exp1,20240614_exp1_nowood,0.0,0.0
20240614_exp1,20240614_exp1_wood,0.6833977801845666,-2.9192327091654144
20240617_exp1,20240617_exp1_nowood,0.0,0.0
20240617_exp1,20240617_exp1_wood,0.8248755754490164,0.11292813579210467
20240618_exp1,20240618_exp1_wood,0.0,0.0
20240618_exp2,20240618_exp2_post,0.6468513112961989,0.6013144730478464
20240618_exp2,20240618_exp2_pre,0.0,0.0
20240619_exp1,20240619_exp1_wood,0.0,0.0
20240620_exp1,20240620_exp1_wood,0.0,0.0
20240621_exp1,20240621_exp1_wood,0.0,0.0
20240621_exp2,20240621_exp2_post,24.454026500962026,-19.663359152868658
20240621_exp2,20240621_exp2_pre,0.0,0.0
20240626_exp1,20240626_exp1_nowood,0.0,0.0
20240626_exp1,20240626_exp1_remobilization,0.8464059662154727,6.887068950197515
20240626_exp1,20240626_exp1_wood,0.9426561439191319,7.372076595631446
20240627_exp1,20240627_exp1_remobilization,3.254907988986657,-21.310732537992312
20240627_exp1,20240627_exp1_wood,0.0,0.0
20240628_exp1,20240628_exp1_nowood,0.0,0.0
20240628_exp1,20240628_exp1_remobilization,3.7464574389128,135.21718161469323
20240628_exp1,20240628_exp1_wood,3.705343970054118,138.79381650295892
20240701_exp1,20240701_exp1_remobilization,0.5079504462446482,6.454041231461949
20240701_exp1,20240701_exp1_wood,0.0,0.0
20240702_exp2,20240702_exp2_pre,0.0,0.0
20240703_exp1,20240703_exp1_wood,0.0,0.0
20240703_exp2,20240703_exp2_post,0.39542917617750306,0.28406887080424414
20240703_exp2,20240703_exp2_pre,0.0,0.0
20240708_exp1,20240708_exp1_nowood,0.0,0.0
20240708_exp1,20240708_exp1_wood,0.9547066876013514,-0.11629802239562426
20240708_exp2,20240708_exp2_post,0.3587942763412097,1.429979481704485
20240708_exp2,20240708_exp2_pre,0.0,0.0
20240709_exp1,20240709_exp1_remobilization,0.27686783200475856,3.6755603905553844
20240709_exp1,20240709_exp1_wood,0.0,0.0
20240710_exp1,20240710_exp1_nowood,0.0,0.0
20240710_exp1,20240710_exp1_remobilization,8.628342029624909,17.806338778910842
20240710_exp1,20240710_exp1_wood,9.077792981137982,20.427690022522462
20240711_exp1,20240711_exp1_remobilization,8.417978379487714,-171.58379929129333
20240711_exp1,20240711_exp1_wood,0.0,0.0
20240714_exp1,20240714_exp1_remobilization,10.384940684721576,-2.8231815554129867
20240714_exp1,20240714_exp1_wood,0.0,0.0
20240716_exp1,20240716_exp1_nowood,0.0,0.0
20240716_exp1,20240716_exp1_remobilization,0.553614430493636,-17.694828296208502
20240716_exp1,20240716_exp1_test,2.8145970124377926,-155.96926369684698
20240716_exp1,20240716_exp1_wood,3.33949034376762,19.152817526141778
20240717_exp1,20240717_exp1_nowood,0.0,0.0
20240717_exp1,20240717_exp1_wood,3.4432052959245594,18.01395793889129
20240718_exp1,20240718_exp1_wood,0.0,0.0
20240722_exp1,20240722_exp1_remobilization,6.605749323200032,-153.1679024764521
20240722_exp1,20240722_exp1_wood,0.0,0.0
20240723_exp1,20240723_exp1_wood,0.0,0.0
20240723_exp2,20240723_exp2_post,0.7206010176202752,-2.782489584919522
20240723_exp2,20240723_exp2_pre,0.0,0.0
20240724_exp1,20240724_exp1_nowood,0.0,0.0
20240724_exp1,20240724_exp1_wood,1.063757205512684,-2.2106865903829718
20240724_exp2,20240724_exp2_post,0.8584063639967285,1.057624213311351
20240724_exp2,20240724_exp2_pre,0.0,0.0
20240725_exp1,20240725_exp1_wood,0.0,0.0
20240725_exp2,20240725_exp2_post,0.8834383686050681,0.6069736169959806
20240725_exp2,20240725_exp2_pre,0.0,0.0
20240726_exp1,20240726_exp1_nowood,0.0,0.0
20240726_exp1,20240726_exp1_wood,1.0197809781991896,-0.7959192552739347
20240728_exp1,20240728_exp1_nowood,0.0,0.0
20240728_exp1,20240728_exp1_post,0.9537116901545399,-0.17021964319418778
20240728_exp1,20240728_exp1_pre,0.6375711373873225,-2.842094724666442
20240729_exp1,20240729_exp1_remobilization,0.9781244672992595,-8.259085160594083
20240729_exp1,20240729_exp1_wood,0.0,0.0
20240730_exp1,20240730_exp1_nowood,0.0,0.0
20240730_exp1,20240730_exp1_remobilization,0.7121649541003092,-21.690555055448883
20240730_exp1,20240730_exp1_wood,0.6984176664550013,-6.5376203779176105
20240731_exp1,20240731_exp1_nowood,0.0,0.0
20240731_exp1,20240731_exp1_remobilization,3.525064551152931,15.978111557761888
20240731_exp1,20240731_exp1_wood,1.127736055559268,-5.30121671824004
20240801_exp1,20240801_exp1_nowood,0.0,0.0
20240801_exp1,20240801_exp1_remobilization,0.8623466854377648,-1.3873657083524409
20240801_exp1,20240801_exp1_wood,1.0816140027455248,0.9853700521405451
20240802_exp1,20240802_exp1_nowood,0.0,0.0
20240802_exp1,20240802_exp1_remobilization,0.946783658056991,-0.5628630555563171
20240802_exp1,20240802_exp1_wood,0.797728075527591,-0.4119934627280612
20240805_exp1,20240805_exp1_wood,0.0,0.0
20240806_exp1,20240806_exp1_remobilization,0.4530810463873389,-11.019669192703725
20240806_exp1,20240806_exp1_wood,0.0,0.0
20240807_exp1,20240807_exp1_wood,0.0,0.0
20240808_exp1,20240808_exp1_wood,0.0,0.0
29240710_exp1,29240710_exp1_remobilization,0.0,0.0
